artist_name,track_name,is_explicit,album_release_date,genres,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature,popularity,artist_count
Natanael Cano,AMG,True,2023-06-30,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",0.772,0.7859999999999999,0.73,-6.657,0.152,0.00010700000000000001,0.27399999999999997,0.0972,11,136.175,0,174943,3,81,3.0
FIFTY FIFTY,Cupid - Twin Ver.,False,2023-09-22,['k-pop girl group'],0.7829999999999999,0.726,0.5920000000000001,-8.332,0.435,4.15e-06,0.34700000000000003,0.0331,11,120.01799999999999,0,174253,4,75,1.0
Grupo Frontera,un x100to,False,2023-08-25,['musica chihuahuense'],0.5710000000000001,0.542,0.72,-4.0889999999999995,0.213,0.0,0.271,0.0458,9,83.82700000000001,1,194563,4,85,2.0
RAYE,Escapism.,True,2023-02-03,"['uk contemporary r&b', 'uk pop']",0.5379999999999999,0.25,0.742,-5.355,0.138,4.6700000000000003e-05,0.0934,0.114,2,96.10700000000001,1,272373,4,76,2.0
Yng Lvcas,La Bebe - Remix,True,2023-03-17,"['reggaeton', 'urbano mexicano']",0.812,0.5589999999999999,0.479,-5.678,0.213,1.21e-06,0.0756,0.33299999999999996,2,169.922,0,234353,4,89,2.0
Yandel,Yandel 150,True,2023-01-13,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",0.7829999999999999,0.58,0.7290000000000001,-3.549,0.0492,0.000272,0.1,0.0691,6,167.968,0,216148,4,83,2.0
Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,False,2022-04-22,['gen z singer-songwriter'],0.551,0.342,0.55,-5.3389999999999995,0.777,0.0,0.20199999999999999,0.0286,10,101.19,1,176440,3,90,2.0
KAROL G,TQG,True,2023-02-24,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.72,0.607,0.63,-3.5469999999999997,0.6729999999999999,0.0,0.0936,0.27699999999999997,4,179.97400000000002,0,199440,4,88,2.0
d4vd,Here With Me,False,2023-05-26,['bedroom pop'],0.5710000000000001,0.299,0.45799999999999996,-9.283,0.544,9.27e-05,0.12300000000000001,0.0258,4,132.025,1,242485,4,90,1.0
Ozuna,Hey Mor,False,2022-10-07,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",0.9009999999999999,0.39899999999999997,0.589,-6.712999999999999,0.00302,0.00023700000000000001,0.0992,0.289,1,98.00200000000001,0,196600,4,87,2.0
d4vd,Romantic Homicide,False,2022-07-20,['bedroom pop'],0.5710000000000001,0.21600000000000003,0.544,-10.613,0.45299999999999996,0.00805,0.322,0.0299,6,132.05200000000002,1,132631,4,91,1.0
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",False,2023-01-11,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.778,0.498,0.632,-5.6,0.27399999999999997,0.0,0.0915,0.0493,2,122.104,0,218289,4,85,2.0
Eslabon Armado,Ella Baila Sola,False,2023-04-28,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",0.6679999999999999,0.8340000000000001,0.758,-5.176,0.483,1.89e-05,0.0837,0.0332,5,147.989,0,165671,3,86,2.0
JVKE,golden hour,False,2022-09-23,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",0.515,0.153,0.593,-4.801,0.653,0.162,0.25,0.0322,4,94.46700000000001,1,209260,3,83,1.0
Taylor Swift,Cruel Summer,False,2019-08-23,['pop'],0.552,0.564,0.7020000000000001,-5.707000000000001,0.11699999999999999,2.0600000000000003e-05,0.105,0.157,9,169.99400000000003,1,178427,4,99,1.0
Rema,Calm Down (with Selena Gomez),False,2023-04-27,"['afrobeats', 'nigerian pop']",0.799,0.8109999999999999,0.802,-5.196000000000001,0.429,0.00128,0.171,0.0371,11,107.008,1,239318,4,90,2.0
Taylor Swift,Anti-Hero,False,2022-10-21,['pop'],0.637,0.5329999999999999,0.643,-6.571000000000001,0.13,1.8000000000000001e-06,0.142,0.0519,4,97.008,1,200690,4,92,1.0
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),True,2022-12-02,['rap'],0.715,0.172,0.62,-6.005,0.41700000000000004,0.0,0.0822,0.0484,1,97.95,0,221520,4,91,3.0
The Weeknd,Die For You (with Ariana Grande) - Remix,False,2023-03-14,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.575,0.506,0.5,-7.593999999999999,0.22699999999999998,0.0,0.335,0.0707,1,67.033,0,232857,4,85,2.0
Feid,CLASSY 101,True,2023-03-31,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.8590000000000001,0.672,0.6579999999999999,-4.79,0.145,0.0,0.12,0.159,11,100.065,1,195987,4,87,1.0
Doja Cat,Paint The Town Red,True,2023-09-20,"['dance pop', 'pop']",0.8640000000000001,0.726,0.556,-7.683,0.255,3.85e-06,0.11199999999999999,0.19399999999999998,2,99.97399999999999,0,230480,4,93,1.0
"Tyler, The Creator",See You Again (feat. Kali Uchis),True,2017-07-21,"['hip hop', 'rap']",0.5579999999999999,0.62,0.5589999999999999,-9.222000000000001,0.371,7.49e-06,0.109,0.0959,6,78.558,1,180387,4,92,2.0
